Arrêt;Identifiant Interne;Commune;Nom du réseau;Mode de transport;Date de MAJ;Source;point_geo
Air Bel;36743Tramway;MARSEILLE;RTM;Tramway;2021-11-03;Métropole Aix-Marseille Provence;43.2942625915, 5.4290510711
Baille;36753Métro;MARSEILLE;RTM;Métro;2021-11-03;Métropole Aix-Marseille Provence;43.2881640293, 5.3919778457
Colbert;31748Métro;MARSEILLE;RTM;Métro;2021-11-03;Métropole Aix-Marseille Provence;43.3002979551, 5.3744018034
La Blancarde;27539Tramway;MARSEILLE;RTM;Tramway;2021-11-03;Métropole Aix-Marseille Provence;43.2966551966, 5.4054801053
La Grognarde;36956Tramway;MARSEILLE;RTM;Tramway;2021-11-03;Métropole Aix-Marseille Provence;43.2946641382, 5.4322859532
Jules Guesde;36944Métro;MARSEILLE;RTM;Métro;2021-11-03;Métropole Aix-Marseille Provence;43.3020002347, 5.3739871015
Métro Bougainville;11696Métro;MARSEILLE;RTM;Métro;2021-11-03;Métropole Aix-Marseille Provence;43.3214283074, 5.3712837837
National;37101Tramway;MARSEILLE;RTM;Tramway;2021-11-03;Métropole Aix-Marseille Provence;43.3015886424, 5.3885309673
Réformés Canebière;11743Tramway;MARSEILLE;RTM;Tramway;2021-11-03;Métropole Aix-Marseille Provence;43.3001106664, 5.3854728188
Saint-Barnabé;12168Métro;MARSEILLE;RTM;Métro;2021-11-03;Métropole Aix-Marseille Provence;43.3032399946, 5.4186131602
Sadi Carnot;11728Tramway;MARSEILLE;RTM;Tramway;2021-11-03;Métropole Aix-Marseille Provence;43.2998663424, 5.3712147602
William Booth;18004Tramway;MARSEILLE;RTM;Tramway;2021-11-03;Métropole Aix-Marseille Provence;43.2926254318, 5.4368787448
Arenc Le Silo;36747Tramway;MARSEILLE;RTM;Tramway;2021-11-03;Métropole Aix-Marseille Provence;43.3133138698, 5.3682068976
Cinq Avenues;11740Tramway;MARSEILLE;RTM;Tramway;2021-11-03;Métropole Aix-Marseille Provence;43.3023335968, 5.3971279115
Cinq Avenues Longchamp;17468Métro;MARSEILLE;RTM;Métro;2021-11-03;Métropole Aix-Marseille Provence;43.3040620788, 5.3961119199
Camas;16775Tramway;MARSEILLE;RTM;Tramway;2021-11-03;Métropole Aix-Marseille Provence;43.2954604699, 5.3931172681
George;36909Tramway;MARSEILLE;RTM;Tramway;2021-11-03;Métropole Aix-Marseille Provence;43.2955802162, 5.3974448995
Désirée Clary;36862Métro;MARSEILLE;RTM;Métro;2021-11-03;Métropole Aix-Marseille Provence;43.3094030198, 5.3723225136
Gèze;36911Métro;MARSEILLE;RTM;Métro;2021-11-03;Métropole Aix-Marseille Provence;43.3279507206, 5.3673544809
Foch Boisson;36895Tramway;MARSEILLE;RTM;Tramway;2021-11-03;Métropole Aix-Marseille Provence;43.2981649391, 5.4033077646
Jean Martin;17146Tramway;MARSEILLE;RTM;Tramway;2021-11-03;Métropole Aix-Marseille Provence;43.2958437998, 5.4017679289
Foch Sakakini;36896Tramway;MARSEILLE;RTM;Tramway;2021-11-03;Métropole Aix-Marseille Provence;43.300280798, 5.4000595713
La Boiseraie;36951Tramway;MARSEILLE;RTM;Tramway;2021-11-03;Métropole Aix-Marseille Provence;43.2949072473, 5.4225731248
Joliette;31860Métro;MARSEILLE;RTM;Métro;2021-11-03;Métropole Aix-Marseille Provence;43.303881351, 5.3678686554
Euroméditerranée Gantès;11725Tramway;MARSEILLE;RTM;Tramway;2021-11-03;Métropole Aix-Marseille Provence;43.3086830613, 5.3681962014
La Timone;33796Métro;MARSEILLE;RTM;Métro;2021-11-03;Métropole Aix-Marseille Provence;43.2911234307, 5.4004817768
Joliette;31860Tramway;MARSEILLE;RTM;Tramway;2021-11-03;Métropole Aix-Marseille Provence;43.3039144959, 5.3679689093
Place de Rome;17747Tramway;MARSEILLE;RTM;Tramway;2021-11-03;Métropole Aix-Marseille Provence;43.2914356273, 5.3806172302
National;37101Métro;MARSEILLE;RTM;Métro;2021-11-03;Métropole Aix-Marseille Provence;43.3151278083, 5.3730810843
Rome Davso;17744Tramway;MARSEILLE;RTM;Tramway;2021-11-03;Métropole Aix-Marseille Provence;43.2936170548, 5.3794772292
Louis Armand;12167Métro;MARSEILLE;RTM;Métro;2021-11-03;Métropole Aix-Marseille Provence;43.299947338, 5.4136345198
La Parette;36966Tramway;MARSEILLE;RTM;Tramway;2021-11-03;Métropole Aix-Marseille Provence;43.2949668463, 5.4192399696
Réformés Canebière;11743Métro;MARSEILLE;RTM;Métro;2021-11-03;Métropole Aix-Marseille Provence;43.3004047188, 5.3862025511
Périer;31753Métro;MARSEILLE;RTM;Métro;2021-11-03;Métropole Aix-Marseille Provence;43.2794015064, 5.3876837719
Saint-Pierre;11737Tramway;MARSEILLE;RTM;Tramway;2021-11-03;Métropole Aix-Marseille Provence;43.2918914899, 5.4142121069
Vieux-Port;34314Métro;MARSEILLE;RTM;Métro;2021-11-03;Métropole Aix-Marseille Provence;43.2956371842, 5.3741797317
Canebière Capucins;25899Tramway;MARSEILLE;RTM;Tramway;2021-11-03;Métropole Aix-Marseille Provence;43.2967425328, 5.3789781241
Belsunce Alcazar;36777Tramway;MARSEILLE;RTM;Tramway;2021-11-03;Métropole Aix-Marseille Provence;43.2984914461, 5.3765961696
Canebière Garibaldi;11730Tramway;MARSEILLE;RTM;Tramway;2021-11-03;Métropole Aix-Marseille Provence;43.2979307168, 5.3814788242
Castellane;18207Métro;MARSEILLE;RTM;Métro;2021-11-03;Métropole Aix-Marseille Provence;43.2861907112, 5.3845119024
Chartreux;11686Métro;MARSEILLE;RTM;Métro;2021-11-03;Métropole Aix-Marseille Provence;43.3091633444, 5.4013958031
Castellane;18207Tramway;MARSEILLE;RTM;Tramway;2021-11-03;Métropole Aix-Marseille Provence;43.2865518309, 5.3835094086
Estrangin;36879Métro;MARSEILLE;RTM;Métro;2021-11-03;Métropole Aix-Marseille Provence;43.2903310203, 5.37802278
Eugène Pierre;17004Tramway;MARSEILLE;RTM;Tramway;2021-11-03;Métropole Aix-Marseille Provence;43.2951165032, 5.3897133856
Cours Saint-Louis;36850Tramway;MARSEILLE;RTM;Tramway;2021-11-03;Métropole Aix-Marseille Provence;43.2959383716, 5.3781598873
Frais Vallon;11683Métro;MARSEILLE;RTM;Métro;2021-11-03;Métropole Aix-Marseille Provence;43.3254627799, 5.4232561474
La Blancarde;27539Métro;MARSEILLE;RTM;Métro;2021-11-03;Métropole Aix-Marseille Provence;43.2955128555, 5.406120767
La Rose;30733Métro;MARSEILLE;RTM;Métro;2021-11-03;Métropole Aix-Marseille Provence;43.3331394946, 5.4296319227
Longchamp;21764Tramway;MARSEILLE;RTM;Tramway;2021-11-03;Métropole Aix-Marseille Provence;43.3032306498, 5.3924599122
Noailles;37103Métro;MARSEILLE;RTM;Métro;2021-11-03;Métropole Aix-Marseille Provence;43.2967762637, 5.3812821496
Notre-Dame du Mont;37106Métro;MARSEILLE;RTM;Métro;2021-11-03;Métropole Aix-Marseille Provence;43.2928160073, 5.3836326717
Malpassé;11684Métro;MARSEILLE;RTM;Métro;2021-11-03;Métropole Aix-Marseille Provence;43.3209822291, 5.4164255499
Les Caillols;11722Tramway;MARSEILLE;RTM;Tramway;2021-11-03;Métropole Aix-Marseille Provence;43.2947182405, 5.4441323846
République Dames;11727Tramway;MARSEILLE;RTM;Tramway;2021-11-03;Métropole Aix-Marseille Provence;43.3022007412, 5.3694297609
Rond-Point du Prado;37188Métro;MARSEILLE;RTM;Métro;2021-11-03;Métropole Aix-Marseille Provence;43.2713878649, 5.3924879957
Rome Dragon;37187Tramway;MARSEILLE;RTM;Tramway;2021-11-03;Métropole Aix-Marseille Provence;43.2890966796, 5.3819211253
Noailles;37103Tramway;MARSEILLE;RTM;Tramway;2021-11-03;Métropole Aix-Marseille Provence;43.2971561615, 5.3812038115
Saint-Just;37199Métro;MARSEILLE;RTM;Métro;2021-11-03;Métropole Aix-Marseille Provence;43.3154134685, 5.4064342246
Saint-Charles;21727Métro;MARSEILLE;RTM;Métro;2021-11-03;Métropole Aix-Marseille Provence;43.3023310739, 5.3800993506
Sainte-Thérèse;11736Tramway;MARSEILLE;RTM;Tramway;2021-11-03;Métropole Aix-Marseille Provence;43.294137846, 5.4095558731
Sainte-Marguerite Dromel;11706Métro;MARSEILLE;RTM;Métro;2021-11-03;Métropole Aix-Marseille Provence;43.2706187888, 5.4021318275
La Fourragère;17202Métro;MARSEILLE;RTM;Métro;2021-11-03;Métropole Aix-Marseille Provence;43.3037674398, 5.4243671181
